date,close,volume,open,high,low
2019-02-04,33.13,5373343.0,32.0,33.15,31.76
2019-02-01,32.65,5799698.0,33.12,33.12,32.29
2019-01-31,32.82,4330011.0,33.45,33.48,32.605
2019-01-30,33.4,3361022.0,33.24,33.48,32.81
2019-01-29,33.08,5734272.0,32.61,33.45,32.58
2019-01-28,32.29,4626634.0,31.42,32.37,31.325
2019-01-25,32.06,4475044.0,32.11,32.45,31.69
2019-01-24,31.84,4443666.0,30.92,31.9,30.77
2019-01-23,30.97,4145130.0,31.73,31.81,30.55
2019-01-22,31.52,4147605.0,31.6,31.8899,31.32
2019-01-18,32.09,4621789.0,31.91,32.4,31.7
2019-01-17,31.69,3942197.0,31.0,31.91,30.78
2019-01-16,31.21,8924822.0,32.05,32.21,31.18
2019-01-15,31.75,4821858.0,32.17,32.51,31.48
2019-01-14,31.57,4687606.0,30.6,31.86,30.51
2019-01-11,31.1,4909903.0,30.65,31.22,30.35
2019-01-10,30.96,3924818.0,30.26,30.99,30.12
2019-01-09,30.86,6868954.0,29.76,30.93,29.45
2019-01-08,29.36,4064318.0,29.24,29.6,28.75
2019-01-07,28.93,3893213.0,28.37,29.15,27.92
2019-01-04,28.32,4215658.0,27.78,28.43,27.47
2019-01-03,27.18,5351359.0,27.12,27.8,26.61
2019-01-02,27.11,4629435.0,25.61,27.58,25.5894
2018-12-31,26.25,4429868.0,26.5,26.9399,25.94
2018-12-28,26.34,4854619.0,27.01,27.15,26.255
2018-12-27,26.74,5376116.0,26.5,26.74,25.607
2018-12-26,27.04,7629768.0,25.65,27.06,24.56
2018-12-24,25.4,3044512.0,26.17,26.33,25.26
2018-12-21,26.55,9958692.0,26.86,27.5,26.31
2018-12-20,27.0,6170947.0,28.3,29.05,26.84
2018-12-19,28.75,5916230.0,29.46,30.1838,28.54
2018-12-18,29.24,8194536.0,30.16,30.31,29.05
2018-12-17,30.17,6608274.0,30.05,30.87,29.95
2018-12-14,30.24,6897267.0,30.92,31.48,30.08
2018-12-13,31.3,5859264.0,31.14,31.54,30.3
2018-12-12,31.33,6010857.0,31.08,32.25,31.0
2018-12-11,30.57,6853660.0,31.7,31.99,29.88
2018-12-10,31.26,6757802.0,32.57,32.92,30.54
2018-12-07,33.01,5130911.0,34.89,35.315,32.96
2018-12-06,33.9,5555140.0,34.17,34.23,32.9716
2018-12-04,35.04,3610821.0,36.4,36.57,34.94
2018-12-03,36.49,3677097.0,36.4,37.09,36.03
2018-11-30,35.13,5387453.0,35.02,35.195,34.24
2018-11-29,35.54,2991392.0,35.45,36.13,35.21
2018-11-28,35.26,3924525.0,35.06,35.6,34.5768
2018-11-27,35.08,4032430.0,35.22,35.54,34.7283
2018-11-26,35.37,4736384.0,35.36,35.9,34.96
2018-11-23,34.86,1860723.0,34.75,35.09,34.2
2018-11-21,36.03,3387662.0,35.0,36.79,34.99
2018-11-20,34.67,5715859.0,35.62,35.93,34.28
2018-11-19,36.53,3332683.0,36.89,37.41,36.37
2018-11-16,37.43,4342473.0,37.07,37.64,36.7
2018-11-15,36.99,4388867.0,35.87,37.27,35.74
