date,close,volume,open,high,low
2019-02-04,69.93,5561768.0,68.19,70.01,68.19
2019-02-01,68.68,7477168.0,68.34,69.45,68.1
2019-01-31,67.69,9877907.0,66.54,68.31,65.9
2019-01-30,65.69,8077432.0,65.8,66.1,65.11
2019-01-29,65.3,5216949.0,66.21,66.29,65.25
2019-01-28,65.35,5942754.0,65.87,65.8739,64.88
2019-01-25,66.99,4504513.0,66.65,67.61,66.5201
2019-01-24,66.12,5789932.0,65.97,66.73,65.45
2019-01-23,65.86,5787884.0,66.22,66.46,65.15
2019-01-22,65.75,6911170.0,67.0,67.24,65.5834
2019-01-18,67.9,6073836.0,67.64,68.31,67.17
2019-01-17,67.06,5801010.0,65.06,67.17,65.01
2019-01-16,65.66,5378327.0,65.74,66.27,65.49
2019-01-15,66.03,4495507.0,66.04,66.78,65.76
2019-01-14,65.61,4782107.0,65.62,66.32,65.33
2019-01-11,66.39,6018314.0,67.28,67.34,65.79
2019-01-10,67.94,8806902.0,65.87,68.01,65.43
2019-01-09,66.45,8269487.0,65.07,66.75,64.6
2019-01-08,64.32,5582326.0,64.21,64.58,63.46
2019-01-07,63.47,6221721.0,63.91,64.27,62.69
2019-01-04,63.75,7666553.0,63.08,63.91,62.66
2019-01-03,62.18,4492365.0,63.54,63.71,61.66
2019-01-02,63.38,5702175.0,60.69,63.85,60.43
2018-12-31,62.35,5282201.0,62.13,62.73,61.685
2018-12-28,61.67,5024339.0,62.75,62.87,61.15
2018-12-27,62.23,5858840.0,60.63,62.24,59.4503
2018-12-26,61.5,7235827.0,57.68,61.53,56.75
2018-12-24,57.01,3842806.0,58.83,59.68,57.01
2018-12-21,59.8,14730550.0,59.21,60.97,58.81
2018-12-20,60.0,8332228.0,60.27,61.72,59.67
2018-12-19,61.28,7682362.0,62.56,63.76,60.82
2018-12-18,61.91,6537786.0,63.03,63.62,61.47
2018-12-17,63.12,7017838.0,64.57,64.84,62.6934
2018-12-14,64.55,6411431.0,66.12,66.29,64.31
2018-12-13,66.13,6102953.0,65.12,67.08,64.89
2018-12-12,65.27,5544871.0,66.05,67.06,65.22
2018-12-11,65.44,5226235.0,66.14,66.75,64.73
2018-12-10,65.2,8750939.0,65.09,65.79,63.3
2018-12-07,65.91,7946165.0,68.24,69.12,65.81
2018-12-06,66.61,8152618.0,64.92,66.61,64.31
2018-12-04,66.92,7437446.0,69.43,69.72,66.79
2018-12-03,69.11,7238614.0,68.1,69.26,67.56
2018-11-30,66.18,7175385.0,66.03,66.94,65.43
2018-11-29,66.87,4597491.0,66.46,67.51,66.21
2018-11-28,66.35,5442799.0,65.11,66.63,65.09
2018-11-27,65.28,6116337.0,64.73,65.6,64.15
2018-11-26,64.7,6246946.0,64.7,65.6,64.53
2018-11-23,63.8,5361043.0,62.88,63.93,62.41
2018-11-21,65.48,6392636.0,64.41,66.15,64.22
2018-11-20,63.99,7447444.0,65.56,65.56,63.2201
2018-11-19,66.44,7768375.0,65.37,66.73,65.03
2018-11-16,66.12,7903022.0,65.59,66.44,65.38
2018-11-15,65.21,7782582.0,63.58,65.2862,63.25
