date,close,volume,open,high,low
2019-02-04,99.38,1773724.0,97.75,99.4,96.71
2019-02-01,98.85,2614650.0,99.87,100.49,98.55
2019-01-31,99.2,2500657.0,99.94,100.85,98.59
2019-01-30,99.45,3000648.0,99.69,99.9,98.37
2019-01-29,98.87,2873293.0,98.6,99.75,98.09
2019-01-28,98.1,2951290.0,97.43,98.25,96.49
2019-01-25,99.1,2417720.0,98.19,100.3,98.05
2019-01-24,97.24,3128912.0,96.52,98.05,95.79
2019-01-23,96.57,2618215.0,97.65,98.42,96.13
2019-01-22,96.86,4390213.0,99.76,100.06,96.63
2019-01-18,101.05,3299469.0,100.3,101.37,99.105
2019-01-17,99.05,2670671.0,98.36,99.35,97.11
2019-01-16,98.67,2792367.0,98.55,99.42,97.44
2019-01-15,98.59,2452677.0,98.97,99.94,98.0
2019-01-14,98.51,3500326.0,95.66,99.01,95.28
2019-01-11,96.87,3206058.0,97.86,98.01,95.96
2019-01-10,99.12,3447080.0,98.02,99.32,97.28
2019-01-09,99.19,4739601.0,96.78,99.51,96.11
2019-01-08,95.52,3417350.0,95.66,96.11,94.34
2019-01-07,94.51,4422462.0,94.49,96.41,92.22
2019-01-04,93.92,3874198.0,91.7,94.3,91.0783
2019-01-03,89.97,2943037.0,90.6,91.22,88.26
2019-01-02,90.61,3862973.0,85.66,91.26,85.2
2018-12-31,87.21,3571125.0,88.21,88.9,86.37
2018-12-28,87.52,3295017.0,89.24,89.33,86.15
2018-12-27,88.79,4216616.0,87.1,88.79,85.05
2018-12-26,88.99,4481269.0,83.83,89.03,82.04
2018-12-24,82.86,2773362.0,86.23,86.73,82.78
2018-12-21,87.26,7463704.0,89.44,90.49,86.82
2018-12-20,89.74,5739058.0,91.53,93.35,89.02
2018-12-19,92.98,4046650.0,94.96,97.14,92.3
2018-12-18,94.01,4638082.0,96.37,96.96,93.71
2018-12-17,96.21,4729738.0,99.54,100.27,95.46
2018-12-14,100.08,3076251.0,102.28,102.95,99.06
2018-12-13,102.83,2605910.0,103.22,104.3,101.46
2018-12-12,103.93,3441397.0,104.24,106.6,103.83
2018-12-11,102.07,3134124.0,103.57,104.35,101.69
2018-12-10,101.71,3361664.0,102.05,103.26,99.21
2018-12-07,103.61,5214693.0,104.76,107.64,103.41
2018-12-06,102.13,4825016.0,101.45,102.29,99.56
2018-12-04,104.07,3145502.0,108.32,108.78,103.65
2018-12-03,108.11,4032370.0,107.11,108.38,106.16
2018-11-30,103.31,5268875.0,104.39,104.68,102.89
2018-11-29,105.47,2661942.0,103.97,106.59,103.59
2018-11-28,103.77,3576040.0,101.99,104.06,101.575
2018-11-27,101.95,3554929.0,102.26,103.06,100.76
2018-11-26,102.54,3300231.0,101.7,102.73,101.03
2018-11-23,100.7,3373732.0,101.63,102.21,99.375
2018-11-21,106.0,5253381.0,103.29,107.57,103.23
2018-11-20,102.36,5662373.0,103.45,103.97,101.37
2018-11-19,105.71,4272135.0,103.99,106.13,103.61
2018-11-16,105.2,6039436.0,103.0,105.59,102.7
2018-11-15,101.59,4217546.0,97.91,101.96,96.81
