date,close,volume,open,high,low
2019-02-05,67.3,2915707.0,67.61,67.6443,67.01
2019-02-04,67.74,3230167.0,67.47,67.91,67.13
2019-02-01,68.04,5387236.0,67.26,68.23,66.78
2019-01-31,66.78,5914007.0,67.28,67.39,66.21
2019-01-30,66.97,3894080.0,66.96,67.46,66.44
2019-01-29,66.48,3887188.0,66.57,66.82,66.0
2019-01-28,66.08,3795305.0,65.64,66.14,64.99
2019-01-25,66.53,3474676.0,65.55,66.7,65.42
2019-01-24,64.98,4035052.0,64.54,65.16,64.01
2019-01-23,64.57,3639672.0,65.26,65.707,63.94
2019-01-22,65.12,4140821.0,66.35,66.3999,64.855
2019-01-18,67.03,4596197.0,66.56,67.23,65.86
2019-01-17,65.83,4754851.0,64.65,66.1,64.45
2019-01-16,65.14,4474947.0,65.51,65.67,65.08
2019-01-15,65.52,4499656.0,65.81,66.5275,65.35
2019-01-14,65.58,6597612.0,65.45,66.47,65.4
2019-01-11,66.22,3894592.0,65.66,66.245,65.1889
2019-01-10,66.19,4977443.0,65.81,66.28,65.04
2019-01-09,65.78,4513800.0,65.48,66.22,65.25
2019-01-08,64.99,5353375.0,65.3,66.31,64.9
2019-01-07,64.48,5748501.0,63.55,65.33,62.75
2019-01-04,63.21,6367350.0,62.28,63.42,62.03
2019-01-03,61.24,5468891.0,62.18,62.4,60.73
2019-01-02,62.0,5355285.0,60.52,62.4,59.72
2018-12-31,61.38,5125717.0,60.78,61.5,60.51
2018-12-28,60.47,5029090.0,61.19,61.46,60.18
2018-12-27,60.76,6725722.0,59.45,60.78,58.52
2018-12-26,60.6,7162622.0,57.62,60.63,56.83
2018-12-24,57.11,4131104.0,59.42,59.83,57.11
2018-12-21,59.98,12536550.0,60.41,61.55,59.6031
2018-12-20,60.63,7295298.0,61.21,62.38,60.0334
2018-12-19,62.24,6612059.0,63.8,64.36,61.52
2018-12-18,63.14,5802342.0,64.05,64.32,62.57
2018-12-17,64.11,5578238.0,64.82,65.76,63.58
2018-12-14,65.1,5090169.0,66.13,66.57,64.53
2018-12-13,66.68,6730366.0,65.25,67.0,64.73
2018-12-12,65.41,6620126.0,65.72,66.665,65.37
2018-12-11,64.7,6027273.0,65.39,65.64,63.8092
2018-12-10,64.44,6135541.0,65.71,66.07,62.57
2018-12-07,66.54,5494595.0,67.69,68.63,66.41
2018-12-06,67.52,7427898.0,68.45,68.47,65.89
2018-12-04,69.67,4453762.0,71.6,71.8,68.8
2018-12-03,71.32,5017167.0,72.04,72.43,70.54
2018-11-30,70.27,5936775.0,70.25,71.0,69.13
2018-11-29,70.91,3453259.0,70.71,71.7,70.51
2018-11-28,70.71,4250869.0,69.27,70.71,67.51
2018-11-27,69.38,5545863.0,70.15,70.39,68.82
2018-11-26,70.64,3783464.0,70.47,71.32,70.26
2018-11-23,69.83,3248759.0,70.5,70.5,69.05
2018-11-21,72.08,4505480.0,70.59,73.035,70.51
2018-11-20,70.3,4476395.0,72.52,72.78,69.71
2018-11-19,73.36,5140987.0,72.61,73.64,72.48
2018-11-16,73.38,4641605.0,72.92,73.61,72.25
2018-11-15,72.59,4737125.0,70.51,72.74,69.7
