date,close,volume,open,high,low
2019-02-04,144.57,989653.0,141.72,144.58,140.98
2019-02-01,143.01,1309391.0,142.99,144.465,141.985
2019-01-31,142.32,1935912.0,141.63,142.875,139.9312
2019-01-30,141.51,1735067.0,140.85,141.97,137.88
2019-01-29,140.2,1059939.0,141.22,141.51,139.79
2019-01-28,139.71,1409763.0,138.42,140.53,137.4147
2019-01-25,140.23,1199600.0,139.59,141.94,139.37
2019-01-24,138.31,1310590.0,137.05,139.48,136.71
2019-01-23,137.42,1719156.0,140.2,140.88,136.66
2019-01-22,139.98,1838350.0,143.1,143.16,139.8
2019-01-18,144.9,1530169.0,145.1,145.1685,143.33
2019-01-17,143.27,1120400.0,142.2,144.02,140.62
2019-01-16,143.54,1661216.0,143.19,144.67,141.6
2019-01-15,143.03,976594.0,144.24,145.49,142.55
2019-01-14,142.89,1048578.0,140.88,144.25,140.01
2019-01-11,142.24,1465821.0,143.87,143.98,141.21
2019-01-10,145.24,1858146.0,144.13,145.79,142.81
2019-01-09,145.81,1786229.0,144.01,146.69,142.91
2019-01-08,142.2,1631716.0,144.43,145.45,141.5
2019-01-07,142.32,2255833.0,139.53,143.87,138.5362
2019-01-04,139.29,2835726.0,137.88,139.89,135.5
2019-01-03,134.73,2532292.0,134.97,135.73,132.3
2019-01-02,134.3,2248419.0,128.78,136.725,128.675
2018-12-31,131.52,1491833.0,130.97,133.27,129.9213
2018-12-28,130.51,2698154.0,130.96,131.61,127.03
2018-12-27,130.08,1769142.0,127.29,130.11,124.46
2018-12-26,130.03,1982935.0,122.09,130.08,119.08
2018-12-24,120.51,1164028.0,123.65,124.53,120.45
2018-12-21,125.08,3269900.0,127.85,129.3,124.47
2018-12-20,128.62,2266053.0,130.25,134.55,127.95
2018-12-19,132.57,2512703.0,132.73,137.73,131.78
2018-12-18,132.07,2433254.0,133.9,135.22,130.83
2018-12-17,133.43,1905382.0,135.64,138.02,132.6
2018-12-14,137.14,2291263.0,139.25,141.06,136.39
2018-12-13,138.6,2100557.0,139.84,140.55,136.55
2018-12-12,140.36,1685096.0,141.63,144.19,140.13
2018-12-11,138.67,1808223.0,143.32,144.055,138.3
2018-12-10,140.56,1687932.0,141.32,143.55,137.58
2018-12-07,143.0,2202259.0,146.16,150.75,142.24
2018-12-06,142.62,2516494.0,141.28,142.62,135.24
2018-12-04,145.68,1654441.0,153.39,154.17,145.01
2018-12-03,153.38,1500210.0,152.23,154.83,151.51
2018-11-30,147.75,2084789.0,147.57,150.0,145.77
2018-11-29,149.17,1405893.0,148.32,151.3,148.26
2018-11-28,147.9,1233664.0,147.13,148.445,145.22
2018-11-27,147.12,1632987.0,149.78,151.95,145.96
2018-11-26,150.24,1131655.0,149.26,152.96,149.26
2018-11-23,147.17,874575.0,148.5,148.939,145.5
2018-11-21,153.96,1281452.0,151.77,156.0,151.58
2018-11-20,151.14,1577443.0,153.88,154.35,149.69
2018-11-19,157.18,1053564.0,154.8,157.71,153.01
2018-11-16,156.49,1054222.0,155.67,157.86,154.62
2018-11-15,154.86,1536597.0,150.36,155.16,149.8076
